_id,company,project,description,published,amount,vat,total,group,date,supplier,invoiceId,remark,year,payments,__v,createdAt,updatedAt,excelRecID,GDFileId,GDFileName
6453ba8787ae8a4dfbd6227e,ביצועים,נווה אליעזר,מזגנים - נווה אליעזר,true,92708,15760,108468,109,31/12/2023,מזגנים - אטלס,6756,שיק 10729  - תאריך  30.06.24,2023,[object Object],0,04/05/2023,11/02/2025,12631,,
6453ba8787ae8a4dfbd6227f,ביצועים,נווה אליעזר,"איטום אריאלי - גמ""ח",true,100000,17000,117000,102,14/05/2023,,403,"שיק 10697 ע""ס 117,000 ש""ח לתאריך 30.06.23 ",2023,[object Object],0,04/05/2023,22/10/2024,11582,,
6453ba8787ae8a4dfbd62280,ביצועים,נווה אליעזר,פרקט - נווה אליעזר,true,114185,19411.45,133596,101,09/04/2023,יניב פרקטים,50094,"שיק 10688 30.04.23 + 10707 20.06.23 + 10713 31.08.23 בניכוי 2% במקור ע""ס כולל 130,924 ש""ח (שיק 10689 בוטל)",2023,"[object Object],[object Object],[object Object]",0,04/05/2023,22/10/2024,12057,,
6453ba8787ae8a4dfbd62281,ביצועים,הוצאות אייל,העברה הלוואה לאייל 13,true,11111,,13000,101,04/04/2023,,,,2023,,0,04/05/2023,11/02/2025,,,
6453ba8787ae8a4dfbd62282,ביצועים,נווה אליעזר,יוסי רחמים - 23-02,true,3300,561,3861,101,28/02/2023,יוסי רחמים,10898,"העברה בתאריך 03.05.23  ע""ס 9,887 ש""ח  עבור חשבוניות 10898, 10755, 11016",2023,,0,04/05/2023,22/10/2024,10434,,
6453ba8787ae8a4dfbd62283,ביצועים,נווה אליעזר,יוסי רחמים - 23-03,true,1100,187,1287,101,31/03/2023,יוסי רחמים,11016,"העברה בתאריך 03.05.23  ע""ס 9,887 ש""ח  עבור חשבוניות 10898, 10755, 11016",2023,,0,04/05/2023,22/10/2024,11256,,
6453ba8787ae8a4dfbd62284,ביצועים,,תיקון רכב,true,500,85,585,101,13/04/2023,הוצאות רכב,807,שולם באשראי,2023,,0,04/05/2023,27/02/2026,11250,,
6453ba8787ae8a4dfbd62285,ביצועים,נווה אליעזר,"דלתות רינגלר - גמ""ח",true,58709,9980.53,68690,101,31/03/2023,דלתות רינגלר,53715,שיק 10690 לתאריך 31.05.23,2023,[object Object],0,04/05/2023,22/10/2024,11938,,
6453ba8787ae8a4dfbd62286,יזמות,"גדות פ""ת",הדפסות נבמבר דצמבר 22,true,2288.03,388.9651,2677,101,17/04/2023,היפר גרף הדפסות,14666,"שולם באשראי - 28.12.23 סך 4,624 בשני תשלומים עבור חשבוניות 15128, 14666, 15243",2023,,0,04/05/2023,11/02/2025,21200,,
6453ba8787ae8a4dfbd62287,ביצועים,נווה אליעזר,שווקי - מעקה זכוכית,true,43692,7427.64,51120,101,16/04/2023,,394,"שיק 10691 ע""ס 48,564 ש""ח לאחר ניקוי 5% במקור",2023,[object Object],0,04/05/2023,11/02/2025,11238,,
